epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5528,0.26769,0.26871,0.19605,0.24115,0.86401,0.99943,1,0.995,0.95181,0.99943,1,0.995,0.96543,0.30106,0.16572,0.12345,0.17209,0.95813,0.00044,0.00044,0.00044
2,60.3903,0.28745,0.29155,0.20048,0.24224,0.86721,0.99942,1,0.995,0.92043,0.99942,1,0.995,0.95376,0.34258,0.16111,0.10589,0.18657,0.94887,0.000873794,0.000873794,0.000873794
3,91.7717,0.32389,0.3292,0.18843,0.26738,0.87168,0.99942,1,0.995,0.94906,0.99942,1,0.995,0.96616,0.33902,0.2462,0.13808,0.23437,0.95397,0.0012808,0.0012808,0.0012808
4,121.708,0.37762,0.32836,0.20995,0.30717,0.88951,0.9985,1,0.995,0.92109,0.9985,1,0.995,0.97527,0.42559,0.20975,0.13609,0.28719,1.02229,0.00166102,0.00166102,0.00166102
5,151.068,0.40361,0.38807,0.21612,0.33807,0.9077,0.99903,1,0.995,0.87288,0.99903,1,0.995,0.96657,0.48708,0.29068,0.14288,0.48896,1.06234,0.00176706,0.00176706,0.00176706
6,180.129,0.35985,0.35777,0.20321,0.30204,0.87399,0.99926,1,0.995,0.92987,0.99926,1,0.995,0.96689,0.35661,0.23824,0.08105,0.23203,0.86578,0.00170882,0.00170882,0.00170882
7,209.795,0.37544,0.38309,0.18917,0.31155,0.89426,0.99933,1,0.995,0.95411,0.99933,1,0.995,0.96377,0.34555,0.20948,0.09741,0.2382,1.00246,0.00165059,0.00165059,0.00165059
8,240.704,0.34218,0.33351,0.18628,0.28884,0.874,0.99935,1,0.995,0.95007,0.99935,1,0.995,0.96021,0.3555,0.27196,0.07933,0.24442,0.9976,0.00159235,0.00159235,0.00159235
9,271.364,0.36854,0.38088,0.18133,0.30289,0.90461,0.99939,1,0.995,0.89819,0.99939,1,0.995,0.96385,0.38015,0.23176,0.08957,0.24017,0.97358,0.00153412,0.00153412,0.00153412
10,301.414,0.36151,0.33929,0.18604,0.30247,0.89245,0.99935,1,0.995,0.9483,0.99935,1,0.995,0.95668,0.32413,0.27384,0.07732,0.22205,0.93721,0.00147588,0.00147588,0.00147588
11,330.131,0.33896,0.35668,0.17991,0.28067,0.87528,0.99938,1,0.995,0.93816,0.99938,1,0.995,0.95977,0.32557,0.2244,0.08916,0.21755,0.95606,0.00141765,0.00141765,0.00141765
