epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.263,2.86636,7.02724,0.70276,4.22344,2.93688,0.23376,0.6,0.28126,0.08988,0,0,0,0,2.17366,8.19665,0.72973,2.73174,2.82221,6e-05,6e-05,6e-05
2,182.964,1.68211,6.697,0.7207,1.50094,1.91493,0.9945,1,0.995,0.53897,0,0,0,0,1.5855,8.26946,0.75136,1.20058,2.261,0.00013769,0.00013769,0.00013769
3,1245.82,0.88584,5.72765,0.73722,0.85092,1.29493,0.99354,1,0.995,0.62172,0,0,0,0,1.39433,7.71085,0.71124,2.11635,2.40101,0.00021274,0.00021274,0.00021274
4,1432.69,0.63316,4.49378,0.72995,0.54443,1.13793,0.97571,1,0.995,0.50625,0,0,0,0,1.7887,6.27078,0.64128,2.46343,3.1601,0.00028515,0.00028515,0.00028515
5,1450.78,0.50161,3.17471,0.68833,0.4263,1.02545,0.95855,1,0.995,0.627,0,0,0,0,1.27067,6.11299,0.64343,2.30791,2.14279,0.00035492,0.00035492,0.00035492
6,1469.17,0.46044,2.87328,0.6532,0.38866,1.00179,0.8943,1,0.995,0.76271,0,0,0,0,0.81511,6.65078,0.65167,2.029,1.45341,0.00042205,0.00042205,0.00042205
7,1495.14,0.49966,2.79442,0.65244,0.40292,0.98242,0.92043,1,0.995,0.92183,0,0,0,0,0.39515,5.30968,0.65445,1.26666,0.99672,0.00048654,0.00048654,0.00048654
8,1514.83,0.46623,2.17338,0.63591,0.36291,0.99896,0.96956,1,0.995,0.89722,0.38783,0.4,0.1875,0.01875,0.5098,4.56773,0.5556,1.06183,1.16396,0.00054839,0.00054839,0.00054839
9,1530.65,0.42795,1.742,0.61786,0.34169,0.97459,0.79368,1,0.995,0.91542,0.79368,1,0.995,0.26971,0.42094,3.53388,0.57191,1.58625,1.01483,0.0006076,0.0006076,0.0006076
10,1544.74,0.43715,1.63187,0.6163,0.3832,0.98675,0.95355,1,0.995,0.905,0.95355,1,0.995,0.38255,0.48276,3.13365,0.48268,1.47885,1.14392,0.00066417,0.00066417,0.00066417
11,1558.31,0.456,1.55691,0.60768,0.37673,1.00797,0.962,1,0.995,0.91306,0.962,1,0.995,0.62788,0.42709,1.87033,0.5288,1.41372,1.00596,0.0007181,0.0007181,0.0007181
12,1571.49,0.45872,1.66769,0.59639,0.36619,1.00314,0.92463,1,0.995,0.92025,0.92463,1,0.995,0.55617,0.36374,2.00843,0.4974,1.16917,0.95901,0.00076939,0.00076939,0.00076939
13,1585.53,0.38864,1.28574,0.58912,0.33171,0.96153,0.97182,1,0.995,0.9001,0.97182,1,0.995,0.51844,0.51336,1.86132,0.4459,1.17811,1.14477,0.00081804,0.00081804,0.00081804
14,1601.15,0.39726,1.17596,0.5637,0.34374,0.96368,0.95497,1,0.995,0.902,0.95497,1,0.995,0.491,0.44588,1.68297,0.37514,1.77457,1.03503,0.00086405,0.00086405,0.00086405
15,1617.18,0.40349,1.19347,0.54811,0.35458,0.9677,0.96277,1,0.995,0.88021,0.96277,1,0.995,0.47811,0.49388,2.01404,0.38196,1.77283,1.11044,0.00090742,0.00090742,0.00090742
16,1632.67,0.39132,1.07932,0.55805,0.31678,0.94586,0.77103,1,0.995,0.907,0.77103,1,0.995,0.26161,0.4735,2.30661,0.37134,1.89802,1.17115,0.00094815,0.00094815,0.00094815
17,1650.06,0.4222,1.06984,0.5687,0.34247,0.98546,0.70226,1,0.995,0.88037,0.46413,0.7,0.38147,0.15531,0.45703,2.7958,0.3782,1.53296,1.15397,0.00098624,0.00098624,0.00098624
18,1666.84,0.36685,0.84723,0.53287,0.31067,0.92876,0.99217,1,0.995,0.91,0.99217,1,0.995,0.47435,0.49371,1.51605,0.39953,1.29541,1.16027,0.00102169,0.00102169,0.00102169
19,1684.89,0.36303,0.85113,0.54114,0.31982,0.95577,0.76631,1,0.995,0.77713,0.76631,1,0.995,0.59693,0.69897,1.6384,0.42152,2.26898,1.45359,0.0010545,0.0010545,0.0010545
20,1702.43,0.41391,0.85534,0.53765,0.3387,0.95256,0.99528,1,0.995,0.79925,0.99528,1,0.995,0.5345,0.94294,1.75666,0.4049,1.91104,1.41784,0.00108467,0.00108467,0.00108467
21,1719.18,0.42631,0.76047,0.51588,0.34671,0.96939,0.99516,1,0.995,0.87173,0.99516,1,0.995,0.48767,0.49697,1.30162,0.37908,0.63575,1.11077,0.0011122,0.0011122,0.0011122
22,1735.14,0.423,0.93647,0.56106,0.34981,0.96754,0.97808,1,0.995,0.85975,0.97808,1,0.995,0.625,0.55382,0.91804,0.45336,1.02517,1.1789,0.00113709,0.00113709,0.00113709
23,1751.28,0.40312,0.7503,0.53934,0.3377,0.95865,0.98723,1,0.995,0.89917,0.98723,1,0.995,0.6343,0.51902,1.19595,0.4588,1.02423,1.12245,0.00115934,0.00115934,0.00115934
24,1777.95,0.3917,0.69918,0.50146,0.32323,0.94635,0.99537,1,0.995,0.9545,0.99537,1,0.995,0.78075,0.36037,1.00222,0.47261,0.6255,0.93985,0.00117895,0.00117895,0.00117895
25,1802.69,0.38479,0.85602,0.49185,0.31456,0.93167,0.99536,1,0.995,0.93833,0.99536,1,0.995,0.83275,0.34793,0.61708,0.46019,0.60073,0.96406,0.00119592,0.00119592,0.00119592
