epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6339,1.5349,2.27323,0.58816,1.67119,1.5284,0.91932,0.92,0.92393,0.75719,0.91027,0.92751,0.93672,0.80263,0.79389,0.86023,0.45806,0.68088,1.06076,0.000654321,0.000654321,0.000654321
2,118.233,0.86875,0.99392,0.46669,0.6388,1.03917,0.96182,0.95429,0.96606,0.78329,0.96182,0.95429,0.95342,0.88891,0.72357,0.48104,0.30792,0.53569,0.99704,0.00129919,0.00129919,0.00129919
3,308.078,0.79322,0.75045,0.37473,0.58859,0.99944,0.93738,0.94088,0.96771,0.82204,0.94307,0.9466,0.96645,0.94276,0.64292,0.36173,0.24311,0.52538,0.93949,0.00192206,0.00192206,0.00192206
4,475.636,0.74398,0.72141,0.29872,0.55704,0.98136,0.95483,0.94286,0.94588,0.84593,0.96398,0.96,0.9555,0.91674,0.58163,0.36631,0.13573,0.53684,0.91188,0.001901,0.001901,0.001901
5,800.306,0.70643,0.59713,0.26392,0.53781,0.97133,0.94691,0.95429,0.96606,0.83214,0.94691,0.95429,0.97512,0.94309,0.59739,0.30374,0.12694,0.50663,0.93046,0.001868,0.001868,0.001868
6,1071.18,0.66269,0.55454,0.2359,0.52817,0.95352,0.94801,0.95429,0.97054,0.84299,0.95369,0.96,0.98348,0.95057,0.56021,0.28281,0.09923,0.47748,0.92496,0.001835,0.001835,0.001835
7,1467.6,0.68325,0.53934,0.23076,0.54525,0.95858,0.9489,0.90286,0.91465,0.82651,0.9549,0.90857,0.92986,0.90674,0.51526,0.24565,0.06005,0.4523,0.88999,0.001802,0.001802,0.001802
8,1628.1,0.64987,0.53686,0.22223,0.52096,0.95482,0.95305,0.95429,0.97747,0.8581,0.95305,0.95429,0.98132,0.96262,0.50843,0.21728,0.0689,0.41961,0.88615,0.001769,0.001769,0.001769
9,2000.62,0.59928,0.42496,0.19537,0.47253,0.94139,0.95211,0.92571,0.9723,0.867,0.94882,0.95338,0.9831,0.96232,0.51626,0.24917,0.06609,0.44212,0.88483,0.001736,0.001736,0.001736
10,2232.41,0.62812,0.47212,0.18225,0.49798,0.94086,0.9395,0.95429,0.97788,0.87106,0.94512,0.96,0.98614,0.96096,0.49573,0.21793,0.05123,0.43993,0.89022,0.001703,0.001703,0.001703
11,2289.74,0.60265,0.43987,0.18539,0.46856,0.92934,0.96895,0.8916,0.96758,0.85155,0.92146,0.96,0.98036,0.96511,0.5223,0.19593,0.06841,0.42759,0.88674,0.00167,0.00167,0.00167
12,2347.53,0.5952,0.39873,0.18224,0.4811,0.9402,0.95307,0.95429,0.98522,0.87823,0.94907,0.95832,0.98548,0.9618,0.50774,0.21505,0.06812,0.41815,0.8866,0.001637,0.001637,0.001637
13,2405.48,0.58517,0.41262,0.17976,0.47764,0.92561,0.95374,0.95429,0.9852,0.88579,0.95945,0.96,0.98915,0.96984,0.46866,0.21162,0.04651,0.39631,0.86909,0.001604,0.001604,0.001604
14,2468.86,0.55035,0.37602,0.16246,0.46394,0.91418,0.9545,0.95894,0.98089,0.87839,0.95789,0.98286,0.98767,0.97166,0.49277,0.15855,0.06171,0.42059,0.86988,0.001571,0.001571,0.001571
